Year,Vmax10m,Vmax100m
1970,17.22,22.72
1971,20.53,27.1
1972,15.59,20.58
1973,16.74,22.1
1974,16.57,21.87
1975,17.37,22.93
1976,20.68,27.3
1977,20.13,26.57
1978,14.68,19.38
1979,-999.0,-999.0
1980,17.74,23.42
1981,13.9,18.35
1982,20.18,26.64
1983,7.7,10.17
1984,16.26,21.47
1985,23.14,30.54
1986,18.39,24.27
1987,17.31,22.84
1988,-999.0,-999.0
1989,18.29,24.14
1990,20.01,26.41
1991,16.79,22.16
1992,19.71,26.02
1993,-999.0,-999.0
1994,22.56,29.78
1995,14.62,19.29
1996,22.66,29.91
1997,17.81,23.51
1998,14.61,19.28
1999,14.05,18.54
2000,13.87,18.31
2001,17.9,23.62
2002,16.25,21.45
2003,14.85,19.6
2004,18.56,24.5
2005,20.37,26.89
2006,21.51,28.39
2007,18.22,24.05
2008,16.9,22.31
2009,20.88,27.56
2010,18.51,24.43
2011,14.33,18.91
2012,17.94,23.67
2013,22.51,29.72
2014,16.29,21.5
2015,20.41,26.94
2016,16.84,22.23
2017,17.87,23.59
2018,18.82,24.85
